Keys,V1,V2,V3,V4
190827_112335,3.14,3.06,3.11,3.08
190827_113425,3.02,3.15,3.1,3.05
190827_120417,3.03,3.07,3.05,3.12
190827_121638,3.02,3.12,3.13,3.04
190827_122157,3.11,3.07,3.13,3.01
190827_122526,3.06,3.13,3.11,3.09
190827_123416,3.04,3.12,3.13,3.07
190827_130902,3.03,3.14,3.09,3.06
190827_131647,3.05,3.09,3.15,3.11
190827_132011,3.01,3.1,3.13,3.09
190827_134205,3.04,3.13,3.03,3.09
190827_140605,3.01,3.06,3.15,3.09
190827_141056,3.01,3.04,3.14,3.1
190827_143821,3.13,3.07,3.1,3.06
190827_144806,3.13,3.01,3.08,3.05
190827_145240,3.07,3.04,3.1,3.14
190827_145857,3.13,3.11,3.06,3.01
190827_150350,3.04,3.15,3.07,3.11
190827_151236,3.12,3.13,3.03,3.06
190827_153310,3.1,3.09,3.03,
190827_160452,3.09,3.14,3.04,3.02
190827_161156,3.08,3.15,3.06,3.01
190828_100724,3.15,3.04,3.02,3.12
190828_102551,3.05,3.08,3.02,3.11
190828_103001,3.04,3.03,3.1,3.15
190828_103600,3.08,3.01,3.11,3.13
190828_105028,3.04,3.14,3.09,3.03
190828_111728,3.04,3.15,3.09,3.11
190828_113711,3.09,3.15,3.03,3.04
190828_115152,3.15,3.05,3.08,3.12
190828_115703,3.03,3.11,3.06,3.13
190828_120542,3.13,3.03,3.11,3.09
190828_121025,3.11,3.08,3.02,3.06
190828_122256,3.07,3.13,3.1,3.02
190828_122908,3.1,3.15,3.02,3.07
190828_123335,3.13,3.1,3.07,3.02
190828_124530,3.15,3.01,3.12,3.09
190828_125135,3.06,3.08,3.15,3.1
190828_130212,3.02,3.06,3.13,3.11
190828_132429,3.1,3.05,3.14,3.01
190828_133014,3.03,3.13,3.04,3.08
190828_134114,3.14,3.1,3.07,3.06
190828_134600,3.09,3.06,3.02,3.14
190828_135620,3.03,3.05,3.09,3.1
190828_141236,3.06,3.1,3.07,3.02
190828_141925,3.12,3.08,3.05,3.02
190828_142458,3.12,3.07,3.01,3.15
190828_143135,3.08,3.13,3.03,3.12
190828_143714,3.15,3.05,3.08,3.01
190828_145427,3.1,3.04,3.08,3.03
190828_145951,3.11,3.05,3.07,3.03
190828_150925,3.15,3.12,3.07,3.03
190828_151317,3.02,3.04,3.15,3.11
190828_151935,3.15,3.02,3.04,3.09
190828_153217,3.13,3.07,3.1,3.06
190828_154310,3.02,3.1,3.15,3.07
190828_155027,3.1,3.13,3.07,3.01
190828_155428,3.07,3.06,3.01,3.13
190828_161214,3.08,3.04,3.15,3.02
190828_161643,3.01,3.05,3.08,3.14
190828_162144,3.07,3.01,3.05,3.13
190828_162548,3.13,3.03,3.1,3.05
190828_163943,3.05,3.03,3.13,3.1
190828_164605,3.07,3.03,3.11,3.04
190829_110630,3.01,3.14,3.05,3.11
190829_114014,3.15,3.02,3.04,3.09
190829_114912,3.01,3.1,3.04,3.14
190829_121957,3.06,3.1,3.13,3.09
190829_131422,3.14,3.09,3.03,3.12
190829_134203,3.01,3.04,3.1,3.13
190829_140134,3.14,3.08,3.12,3.05
190829_142012,3.01,3.09,3.11,3.05
190829_143810,3.08,3.1,3.13,3.04
190829_144300,3.1,3.01,3.05,3.14
190829_144858,3.14,3.06,3.1,3.09
190829_150022,3.05,3.15,3.08,3.01
190829_150842,3.04,3.09,3.02,3.11
190829_151345,3.02,3.15,3.06,3.1
190829_151851,3.13,3.02,3.12,3.08
190829_152327,3.14,3.05,3.07,3.03
190829_152911,3.04,3.13,3.03,3.08
190829_153923,3.09,3.14,3.12,3.03
190829_155935,3.05,3.14,3.02,3.09
190829_161841,3.11,3.09,3.02,3.13
190829_163226,3.1,3.15,3.07,3.06
190830_102607,3.1,3.15,3.03,3.05
190830_103042,3.04,3.08,3.15,3.1
190830_103542,3.03,3.13,3.05,3.08
190830_115912,3.02,3.14,3.1,3.06
190830_120632,3.07,3.14,3.04,3.03
190830_133723,3.08,3.01,3.06,3.12
190830_134416,3.08,3.13,3.04,3.03
190830_140028,3.1,3.04,3.08,3.02
190830_140916,3.09,3.13,3.1,3.01
190830_141401,3.08,3.05,3.11,3.01
190830_141805,3.09,3.04,3.13,3.02
190830_142432,3.13,3.05,3.09,3.12
190830_142748,3.1,3.09,3.13,3.01
190830_143304,3.06,3.03,3.15,3.08
190830_144247,3.1,3.07,3.15,3.04
190830_154803,3.01,3.06,3.13,3.08
190830_155352,3.01,3.08,3.15,3.06
190830_155919,3.05,3.09,3.01,3.1
190830_160336,3.04,3.12,3.15,3.09
190830_161744,3.06,3.15,3.08,3.01
190830_162305,3.02,3.07,3.15,3.05
190830_162821,3.06,3.1,3.13,3.03
190830_163422,3.03,3.08,3.04,3.1
190831_102933,3.07,3.02,3.04,3.13
190831_103352,3.13,3.11,3.03,3.07
190831_105716,3.11,3.06,3.15,3.08
190831_111137,3.09,3.01,3.13,3.06
190831_111633,3.09,3.04,3.02,3.13
190831_112521,3.11,3.08,3.01,3.04
190831_114114,3.1,3.09,3.15,3.02
190831_120311,3.06,3.01,3.11,3.15
190831_121120,3.07,3.03,3.13,3.1
190831_121936,3.13,3.12,3.06,3.09
190831_122357,3.08,3.01,3.14,3.1
190831_123634,3.11,3.14,3.02,3.05
190831_125019,3.1,3.01,3.08,3.14
190831_125822,3.08,3.04,3.15,3.03
190831_130903,3.01,3.04,3.07,3.12
190831_141549,3.12,3.02,3.15,3.05
190831_142153,3.09,3.05,3.14,3.11
190831_143056,3.01,3.1,3.13,3.06
190831_144016,3.11,3.08,3.01,3.14
190831_145425,3.02,3.1,3.05,3.08
190831_145855,3.03,3.11,3.14,3.05
190831_150434,3.14,3.1,3.06,3.09
190831_151002,3.14,3.09,3.11,3.06
190831_151457,3.03,3.12,3.04,3.13
190831_152552,3.01,3.15,3.1,3.06
190831_154116,3.11,3.03,3.06,3.13
190831_154516,3.03,3.11,3.08,3.05
190831_154928,3.05,3.1,3.07,3.14
190831_155333,3.13,3.1,3.05,3.07
190831_155700,3.03,3.13,3.07,3.04
190831_160553,3.13,3.05,3.1,3.01
190831_161204,3.01,3.06,3.11,3.07
190831_162503,3.05,3.01,3.08,3.15
190831_163102,3.09,3.03,3.13,3.04
190901_105510,3.05,3.01,3.1,3.09
190901_110619,3.04,3.11,3.09,3.01
190901_111230,3.1,3.01,3.04,3.15
190901_111801,3.14,3.04,3.02,3.09
190901_112535,3.15,3.03,3.06,3.12
190901_114040,3.13,3.06,3.12,3.01
190901_114949,3.05,3.11,3.14,3.01
190901_120407,3.12,3.06,3.08,3.02
190901_120755,3.04,3.11,3.07,3.02
190901_122936,3.1,3.08,3.05,3.01
190901_124111,3.1,3.07,3.04,3.01
190901_133241,3.11,3.07,3.14,3.02
190901_140315,3.07,3.15,3.05,3.02
190901_140727,3.1,3.03,3.15,3.07
190901_141446,3.11,3.07,3.04,3.13
190901_142100,3.02,3.07,3.11,3.05
190901_142406,3.12,3.08,3.04,3.15
190901_144529,3.03,3.07,3.13,3.1
190901_145908,3.09,3.15,3.12,3.05
190901_150540,3.11,3.13,3.04,3.09
190901_151230,3.02,3.06,3.07,3.14
190901_152341,3.1,3.13,3.02,3.07
190901_155815,3.08,3.02,3.14,3.04
190901_160826,3.02,3.12,3.14,3.07
190901_161629,3.15,3.12,3.07,3.05
190901_162021,3.02,3.04,3.13,3.11
190901_163249,3.15,3.05,3.11,3.08
190901_164148,3.03,3.11,3.08,3.05
190902_110845,3.15,3.01,3.06,3.1
190902_111416,3.08,3.04,3.11,3.14
190902_111859,3.08,3.1,3.02,3.05
190902_112857,3.1,3.02,3.08,3.14
190902_113405,3.06,3.13,3.03,3.12
190902_113819,3.06,3.01,3.14,3.08
190902_121610,3.06,3.08,3.03,3.15
190902_122248,3.05,3.07,3.01,3.14
190902_130628,3.01,3.14,3.06,3.11
190902_134827,3.05,3.02,3.1,3.07
190902_135251,3.07,3.03,3.15,3.05
190902_135651,3.04,3.13,3.01,3.07
190902_141139,3.15,3.01,3.12,3.07
190902_141921,3.13,3.12,3.05,3.09
190902_142759,3.04,3.03,3.11,3.14
190902_144122,3.03,3.07,3.13,3.1
190902_144606,3.15,3.1,3.02,3.09
190902_145151,3.15,3.09,3.04,3.03
190902_150757,3.08,3.13,3.06,3.1
190902_151359,3.06,3.01,3.12,3.07
190902_152613,3.08,3.02,3.11,3.05
190902_153614,3.07,3.04,3.01,3.13
190902_154055,3.14,3.01,3.06,3.11
190902_154618,3.1,3.13,3.04,3.03
190902_155311,3.1,3.13,3.04,3.01
190902_160501,3.15,3.03,3.08,3.04
190902_161617,3.15,3.11,3.07,3.05
190902_162031,3.11,3.06,3.03,3.14
190902_162722,3.02,3.13,3.09,3.06
190902_163234,3.11,3.08,3.05,3.02
190902_164350,3.14,3.05,3.01,3.09
190903_105623,3.1,3.13,3.07,3.03
190903_110015,3.07,3.06,3.11,3.01
190904_101609,3.12,3.07,3.04,3.15
190904_103326,3.06,3.09,3.03,3.13
190904_103620,3.1,3.08,3.04,3.01
190904_104359,3.15,3.07,3.01,3.11
190904_105418,3.1,3.04,3.01,3.07
190904_111207,3.03,3.08,3.05,3.14
190904_120349,3.04,3.08,3.12,3.15
190904_121514,3.05,3.02,3.11,3.15
190904_125423,3.11,3.07,3.13,3.03
190904_130405,3.08,3.05,3.14,3.03
190904_132710,3.14,3.02,3.07,3.11
190904_134058,3.09,3.01,3.13,3.11
190904_152003,3.06,3.01,3.1,3.08
190905_104726,3.05,3.02,3.12,3.15
190905_114824,3.01,3.09,3.14,3.11
190905_141720,3.13,3.12,3.03,3.08
190905_144425,3.1,3.15,3.01,3.06
190905_155311,3.1,3.15,3.08,3.02
190907_114542,3.01,3.05,3.12,3.07
190907_115807,3.12,3.04,3.01,3.08
190907_122007,3.04,,,
190907_122635,3.05,3.13,3.07,3.11
190907_123055,3.01,3.15,3.06,3.12
190907_123533,3.01,3.06,3.12,3.13
190907_124105,3.14,3.04,3.11,3.02
190907_133350,3.14,3.11,3.05,3.02
190907_135915,3.13,3.11,3.08,3.03
190907_140419,3.02,3.04,3.1,3.08
190907_140923,3.14,3.03,3.08,3.1
190907_143813,3.08,3.12,3.05,3.14
190907_144214,3.05,3.11,3.03,3.15
190907_150948,3.14,3.11,3.03,3.06
190907_153249,3.12,3.08,3.03,3.05
190907_154005,3.05,3.11,3.03,3.08
190907_154520,3.01,3.1,3.14,3.05
190907_155327,3.1,3.02,3.09,3.04
190907_160224,3.15,3.11,3.09,3.04
190907_161329,3.06,3.14,3.08,3.11
190907_161819,3.12,3.15,3.06,3.02
190907_162929,3.02,3.07,3.12,3.05
190908_105608,3.13,3.08,3.12,3.03
190908_111518,3.03,3.07,3.11,3.04
190908_122556,3.01,3.12,3.14,3.08
190908_125852,3.15,3.12,3.03,3.04
190908_134655,3.1,3.04,3.01,3.08
190908_135234,3.02,3.04,3.08,3.13
190908_140734,3.15,3.11,3.08,3.01
190908_141748,3.02,3.08,3.05,3.13
190908_142426,3.08,3.05,3.15,3.01
190908_142854,3.08,3.11,3.15,3.02
190908_144111,3.03,3.11,3.04,3.14
190908_144724,3.11,3.06,3.08,3.15
190908_145812,3.1,3.02,3.08,3.04
190908_151244,3.04,3.13,3.11,3.09
190908_151729,3.06,3.07,3.02,3.13
190908_155820,3.11,3.13,3.07,3.05
190908_160654,3.03,3.05,3.14,3.07
190908_162736,3.03,3.11,3.07,3.06
190908_163208,3.09,3.1,3.15,3.05
190908_163817,3.12,3.04,3.07,3.14
190909_105535,3.05,3.11,3.01,3.08
190909_110550,3.01,3.14,3.11,3.07
190909_111558,3.05,3.09,3.12,3.01
190909_113757,3.12,3.04,3.03,3.08
190909_120628,3.01,3.14,3.12,3.07
190909_125558,3.13,3.03,3.05,3.08
190909_133414,3.01,3.15,3.12,3.06
190909_142833,3.06,3.01,3.13,3.08
190910_114918,3.13,3.07,3.05,3.1
190910_115258,3.09,3.12,3.14,3.03
190910_120112,3.02,3.07,3.06,3.11
190910_130834,3.13,3.01,3.1,3.06
190910_131434,3.05,3.11,3.08,3.03
190910_132257,3.11,3.02,3.09,3.13
190910_132636,3.11,3.02,3.05,3.09
190910_135511,3.13,3.02,3.1,3.07
190911_092947,3.02,3.09,3.1,3.14
190911_102228,3.01,3.15,3.06,3.09
190911_102954,3.01,3.09,3.14,3.11
190911_103949,3.01,,,
190911_104351,3.01,3.15,3.04,3.1
190911_104914,3.06,3.12,3.14,3.01
190911_105344,3.05,3.12,3.15,3.02
190911_111940,3.1,3.05,3.15,3.09
190911_112354,3.15,3.12,3.05,3.02
190911_112706,3.1,3.15,3.04,3.08
190911_113844,3.04,3.13,3.01,3.08
190911_115316,3.07,3.03,3.13,3.1
190911_121552,3.13,3.1,3.05,3.09
190911_122931,3.05,3.15,3.11,3.03
190911_130930,3.15,3.12,3.01,3.09
190911_141431,3.09,3.13,3.04,3.1
190911_142042,3.11,3.08,3.01,3.06
190911_143646,3.06,3.13,3.11,3.07
190911_153315,3.06,3.13,3.03,3.12
190912_141104,3.07,3.06,3.15,3.12
190912_142007,3.01,3.11,3.15,3.08
190912_142657,3.12,3.02,3.08,3.13
190913_120855,3.13,3.02,3.07,3.04
190913_130700,3.03,3.11,3.06,3.09
190913_140945,3.08,3.11,3.01,3.13
190913_143541,3.12,3.09,3.04,3.15
190913_144101,3.03,3.09,3.11,3.05
190913_145502,3.08,3.06,3.15,3.12
190914_100729,3.09,3.13,3.11,3.03
190914_101337,3.06,3.02,3.08,
190914_101632,3.04,3.01,3.09,3.13
190914_102049,3.11,3.02,3.08,3.04
190914_102733,3.1,3.03,3.04,3.09
190914_105943,3.11,3.13,3.08,3.02
190914_112504,3.06,3.03,3.14,3.07
190914_114020,3.14,3.05,3.01,3.11
190914_115114,3.01,3.15,3.07,3.06
190914_115707,3.09,3.13,3.03,3.11
190914_120543,3.11,3.13,3.03,3.05
190914_123440,3.07,3.15,3.05,3.03
190914_124542,,,,
190914_125119,3.03,3.13,3.11,3.04
190914_132931,3.09,3.04,3.11,3.14
190914_134325,3.02,3.15,3.09,3.06
190914_135338,3.13,3.05,3.12,3.01
190914_141557,3.01,3.06,3.08,3.1
190914_145950,3.01,3.06,3.13,3.07
190914_150459,3.08,3.11,3.04,3.13
190914_150936,3.05,3.01,3.14,3.09
190914_151515,3.12,3.06,3.03,3.15
190914_153806,3.15,3.07,3.04,3.01
190914_154944,3.01,3.09,3.04,3.1
190914_160405,3.11,3.05,3.01,3.07
190917_122254,3.08,3.03,3.06,3.12
190917_130326,3.1,3.15,3.09,3.01
190917_140132,3.13,3.07,3.12,3.05
190917_141005,3.06,3.03,3.08,3.14
190917_141514,3.09,3.15,3.12,3.02
190918_092210,3.08,3.14,3.1,3.02
190918_095813,3.01,3.13,3.11,3.07
190918_100148,3.03,3.04,3.15,3.1
190918_115908,3.15,3.06,3.1,3.03
190919_094534,3.09,3.05,3.03,3.11
190919_103007,3.09,3.01,3.14,3.12
190919_103805,3.02,3.06,3.15,3.12
190919_111529,3.04,3.12,3.02,3.14
190919_130622,3.03,3.11,3.14,3.04
190919_134400,3.11,3.04,3.01,3.08
190919_134859,3.05,3.11,3.03,3.09
190919_140149,3.05,3.14,3.08,3.02
190920_102538,3.07,3.05,3.14,3.1
190920_102949,3.11,3.08,3.13,3.01
190920_104136,3.12,3.01,3.07,3.14
190920_104459,3.09,3.05,3.01,3.1
190920_110728,3.04,3.15,3.03,3.11
190920_113130,3.01,3.06,3.09,3.1
190920_115938,3.01,3.1,3.04,3.15
190920_120609,3.07,3.15,3.03,3.04
190920_125319,3.04,3.03,3.14,3.12
190920_125929,3.1,3.09,3.01,3.13
190920_130935,3.01,3.09,3.04,3.15
190920_132327,3.09,3.14,3.05,3.1
190920_133508,3.08,3.02,3.11,3.15
190920_135834,3.02,3.14,3.11,3.09
190920_140357,3.15,3.08,3.11,3.06
190920_144335,3.11,3.08,3.14,3.04
190920_145206,3.15,3.06,3.11,3.01
190920_150904,3.03,3.14,3.12,3.08
190920_152311,3.05,3.12,3.07,3.01
190921_102034,3.08,3.13,3.01,3.11
190921_105314,3.07,3.14,3.03,3.12
190921_105833,3.11,3.02,3.05,3.08
190921_114642,3.15,3.1,3.06,3.09
190921_115244,3.15,3.06,3.07,3.01
190921_115712,3.1,3.14,3.09,3.06
190921_121338,3.13,3.03,3.06,3.09
190921_125532,3.01,3.12,3.08,3.13
190921_130015,3.05,3.08,3.1,3.02
190921_133439,3.08,3.15,3.05,3.01
190921_134332,3.07,3.11,3.03,3.05
190921_135333,3.14,3.07,3.11,3.05
190921_140322,3.05,3.02,3.07,3.11
190921_142954,3.09,3.05,3.12,3.03
190921_143543,3.13,3.02,3.1,3.08
190921_143900,3.02,3.07,3.11,3.15
190921_151552,,,,
190921_152122,3.09,3.04,3.15,3.03
190921_152813,3.09,3.01,3.13,3.12
190921_153252,3.03,3.12,3.04,3.08
190921_160351,3.1,3.03,3.05,3.09
190921_161407,3.14,3.01,3.12,3.06
190921_162030,3.01,3.06,3.15,3.1
190921_163541,3.12,3.09,3.01,3.15
190921_164018,3.06,3.08,3.02,3.11
190922_122311,3.03,3.09,,
190922_125812,3.04,3.03,3.12,3.07
190922_130824,3.01,3.05,3.14,3.12
190922_131254,3.05,3.1,3.15,3.09
190922_134019,3.07,3.1,3.05,
190922_134943,3.02,3.11,3.13,3.07
190922_135612,3.03,3.06,3.1,3.14
190922_141635,3.09,3.06,3.15,3.02
190922_143145,3.04,3.11,3.02,3.13
190922_143645,3.07,3.05,3.1,3.14
190922_145118,3.07,3.13,3.11,3.05
190922_150210,3.07,3.06,3.01,3.1
190923_091735,3.08,3.14,3.1,3.05
190923_100823,3.05,3.01,3.08,3.15
190923_101756,3.03,3.09,3.06,3.1
190923_102134,3.15,3.04,3.07,3.03
190923_110359,3.1,3.09,3.01,3.04
190923_111828,3.02,3.09,3.13,3.12
190923_113646,3.03,3.12,3.15,3.04
190923_114227,3.07,3.06,3.11,3.14
190923_114911,3.08,3.15,3.12,3.05
190923_120910,3.07,3.15,3.01,3.11
190923_125528,3.06,3.02,3.08,3.14
190923_130005,3.14,3.01,3.08,3.11
190923_132459,3.1,3.09,3.15,3.05
190923_133112,3.15,3.09,3.04,3.1
190923_133714,3.14,3.04,3.03,3.1
190923_134445,3.14,3.12,3.05,3.02
190923_135022,3.03,3.15,3.07,3.06
190923_135516,3.08,3.15,3.02,3.06
190923_140335,3.04,3.09,3.1,3.03
190923_144717,3.05,3.11,3.13,3.08
190924_103010,3.04,3.11,3.02,3.15
190924_103645,3.03,3.15,3.12,3.06
190924_105650,3.04,3.07,3.13,3.02
190924_110611,3.14,3.04,3.1,3.02
190924_111235,3.1,3.04,3.14,3.03
190924_120119,3.08,3.15,3.01,3.1
190924_120538,3.15,3.01,3.1,3.09
190924_125418,3.15,3.09,3.01,3.11
190924_134411,3.1,3.13,3.05,3.01
190924_134910,3.13,3.12,3.08,3.01
190924_135955,3.12,3.01,3.14,3.05
190924_140755,3.15,3.06,3.02,3.07
190924_141335,3.07,3.15,3.04,3.02
190925_102925,3.15,3.09,3.03,3.1
190925_110206,3.02,3.14,3.04,3.12
190925_115135,3.03,3.08,3.04,3.15
190925_121945,3.13,3.11,3.02,3.04
190925_122549,3.09,3.11,3.06,3.01
190925_123205,3.08,3.03,3.15,3.06
190925_123723,3.1,3.14,3.03,3.09
190925_134358,3.08,3.1,3.06,3.15
190925_135500,3.01,3.04,3.15,3.1
190926_105951,3.13,3.01,3.12,3.07
190926_113203,3.06,3.02,3.15,3.11
190926_113554,3.08,3.15,3.03,3.06
190926_114237,3.04,3.07,3.15,3.03
190926_120049,3.04,3.08,3.15,3.1
190926_125412,3.03,3.04,3.11,3.15
190926_125919,3.06,3.1,3.03,3.08
190926_132526,3.02,3.08,3.06,3.15
190926_135959,3.07,3.01,3.04,3.1
190926_140544,3.14,3.08,3.12,3.01
190926_142302,3.12,3.05,3.03,3.15
190926_143819,3.01,3.14,3.09,3.12
190927_110117,3.1,3.08,3.06,3.14
190927_114214,3.15,3.11,3.03,3.05
190927_124949,3.06,3.13,3.02,3.09
190927_135122,3.01,3.07,3.06,3.13
190927_140607,3.03,3.07,3.12,3.04
190927_153414,3.07,3.05,3.02,3.15
190930_102518,3.09,3.02,3.05,3.14
190930_103152,3.02,3.09,3.15,3.11
190930_103552,3.05,3.07,3.01,3.14
190930_103935,3.14,3.01,3.05,3.08
190930_104324,3.13,3.03,3.07,3.1
190930_104658,3.06,3.15,3.11,3.08
190930_104929,3.01,3.09,3.12,3.04
190930_123118,3.02,3.06,3.1,3.09
190930_125437,3.13,3.05,3.02,3.1
190930_130048,3.09,3.02,3.04,3.13
190930_130459,3.15,3.09,3.05,3.02
190930_131952,3.01,3.09,3.05,3.11
190930_143603,3.03,3.12,3.14,3.05
190930_144959,3.15,3.1,3.02,3.08
190930_152818,3.09,3.03,3.1,3.13
190930_153321,3.01,3.12,3.08,3.04
191001_110207,3.15,3.1,3.07,3.04
191001_121721,3.15,3.07,3.04,3.03
191001_122915,3.07,3.03,3.06,3.12
191001_131423,3.11,3.05,3.09,3.02
191001_132131,3.04,3.12,3.08,3.13
191001_132931,3.1,3.13,3.01,3.07
191001_133455,3.15,3.01,3.11,3.09
191001_134306,3.03,3.15,3.1,3.05
191001_135552,3.04,3.07,3.14,3.1
191001_140305,3.08,3.15,3.06,3.1
191001_143750,3.06,3.08,3.01,3.13
191002_111949,3.04,3.13,3.02,3.08
191002_112407,3.11,3.07,3.04,3.03
191002_113934,3.11,3.04,3.08,3.03
191002_120237,3.08,,,
191002_120629,3.05,3.02,3.09,3.1
191002_132203,3.08,3.04,3.03,3.11
191002_141146,3.09,3.11,3.13,3.03
191002_142406,3.07,3.06,3.01,3.14
191002_143921,3.14,3.05,3.08,3.11
191002_150035,3.01,3.06,3.11,3.14
191002_150443,3.04,3.15,3.01,3.07
191003_095954,3.15,3.12,3.03,3.04
191003_100459,3.12,3.13,3.01,3.07
191003_101600,3.12,3.14,3.06,3.02
191003_101921,3.09,3.11,3.02,3.13
191003_102258,3.03,3.13,3.07,3.06
191003_102705,3.13,3.06,3.03,3.12
191003_105011,3.14,3.12,3.06,3.09
191003_110736,3.02,3.08,3.13,3.06
191003_111111,3.11,3.07,3.14,3.04
191003_112718,3.07,3.01,3.15,3.04
191003_113151,3.13,3.11,3.04,3.01
191003_113707,3.05,3.01,3.09,3.15
191003_115018,3.1,3.07,3.06,3.15
191003_115529,3.06,3.12,3.07,3.14
191003_124215,3.05,3.01,3.15,3.1
191003_124645,3.05,3.03,3.08,3.15
191003_131653,3.11,3.01,3.06,3.07
191003_132132,3.11,3.14,3.07,3.02
191003_135401,3.04,3.13,3.1,3.09
191004_102336,3.13,3.01,3.04,3.1
191004_105347,3.04,3.15,3.02,3.12
191004_105801,3.02,3.14,3.11,3.04
191004_112327,3.13,3.01,3.08,3.04
191004_112756,3.05,3.15,3.07,3.01
191004_113134,3.01,3.15,3.08,3.05
191004_113439,3.07,3.15,3.02,3.06
191004_115757,3.14,3.11,3.01,3.09
191004_131058,3.11,3.05,3.15,3.09
191004_132742,3.09,3.03,3.15,3.12
191004_133118,3.15,3.07,3.1,3.01
191004_135001,3.14,3.01,3.1,3.04
191004_140809,3.02,3.09,3.04,3.12
191004_144334,3.03,3.11,3.08,3.15
191004_145257,3.06,3.11,3.13,3.09
191005_104250,3.14,3.08,3.01,3.05
191005_112720,3.13,3.09,3.02,3.12
191005_113219,3.02,3.1,3.04,3.13
191005_115852,3.11,3.07,3.14,3.01
191005_120618,3.04,3.14,3.07,3.02
191005_122459,3.07,3.15,3.06,3.12
191005_124323,3.14,3.02,3.06,3.08
191005_130938,3.11,3.07,3.03,3.04
191005_132525,3.1,3.06,3.15,3.07
191005_132841,3.09,3.12,3.02,3.04
191005_133343,3.01,3.15,3.04,3.11
191005_135635,3.15,3.08,3.12,3.04
191005_142418,3.01,3.06,3.09,3.13
191005_144554,3.09,3.03,3.15,3.05
191005_145112,3.07,3.13,3.06,3.03
191005_145553,3.08,3.05,3.03,3.14
191005_150103,3.08,3.02,3.13,3.11
191005_150522,3.15,3.02,3.11,3.06
191005_150950,3.05,3.02,3.08,3.11
191005_155315,3.11,3.14,3.03,3.08
191005_160722,3.06,3.15,3.02,3.08
191005_162828,3.13,3.07,3.05,3.02
191005_163310,3.13,3.11,3.02,3.09
191006_103935,3.02,3.1,3.06,3.13
191006_111149,3.07,3.04,3.1,3.14
191006_112748,3.14,3.03,3.12,3.09
191006_113430,3.11,3.01,3.13,3.08
191006_114831,3.14,3.08,3.12,3.04
191006_115803,3.04,3.08,3.11,3.01
191006_131109,3.09,3.12,3.02,3.14
191006_132251,3.15,3.01,3.05,3.07
191006_133557,3.15,3.04,3.02,3.07
191006_140307,3.15,3.1,3.08,3.03
191006_140853,3.06,3.02,3.15,3.07
191006_141444,3.15,3.04,3.07,3.01
191006_143000,3.14,,,
191006_144100,3.01,3.11,3.15,3.08
191006_145142,3.09,3.11,3.05,3.14
191006_145549,3.11,3.01,3.04,3.13
191006_145952,3.13,3.05,3.11,3.02
191006_152341,3.08,3.04,3.1,3.14
191006_153724,3.03,3.14,3.07,3.04
191006_161908,3.07,3.11,3.06,
191007_100229,3.03,3.06,3.1,3.13
191007_102642,3.08,3.12,3.05,3.15
191007_103128,3.12,3.04,3.15,3.08
191007_114055,3.04,3.02,3.08,3.1
191007_115658,3.06,3.1,3.03,3.07
191007_120129,3.11,3.02,3.05,3.15
191007_122826,3.08,3.03,3.05,3.14
191007_124848,3.12,3.02,3.08,3.14
191007_130613,3.14,3.05,3.12,3.02
191007_133142,3.09,3.04,3.02,3.12
191007_133728,3.14,3.12,3.08,3.06
191007_134217,3.1,3.13,3.06,3.02
191007_135347,3.1,3.04,3.14,3.01
191007_142124,3.12,3.01,3.09,3.06
191007_143443,3.06,3.14,3.03,3.09
191007_151329,3.02,3.04,3.15,3.12
191007_155121,3.12,3.09,3.15,3.04
191008_121956,3.08,3.11,3.03,3.14
191008_130605,3.11,3.08,3.02,3.15
191008_131421,3.01,3.08,3.1,3.15
191008_132218,3.15,3.08,3.05,3.03
191008_133049,3.15,3.03,3.08,3.11
191008_133810,3.15,3.06,3.08,3.1
191008_143041,3.05,3.11,3.08,3.14
191008_143852,3.08,3.06,3.12,3.14
191008_144857,3.03,3.1,3.13,3.09
191008_152847,3.08,3.11,3.04,3.14
191008_154937,3.03,3.06,3.08,3.1
191008_155421,3.04,3.13,3.08,3.12
191009_110859,3.15,3.02,3.1,3.08
191009_114021,3.01,3.09,3.13,3.1
191009_114504,3.08,3.11,3.14,3.06
191009_115007,3.11,3.07,3.14,3.02
191009_115525,3.13,3.07,3.11,3.05
191009_120045,3.09,3.02,3.13,3.1
191009_141540,3.01,3.13,3.09,
191009_142648,3.07,3.02,3.1,3.04
191009_143224,3.06,3.01,3.14,3.1
191009_143825,3.15,3.02,3.08,3.05
191009_144625,3.03,3.04,3.13,3.12
191009_152308,3.12,3.07,3.13,3.05
191009_152701,3.15,3.1,3.01,3.06
191010_104757,3.06,3.1,3.14,3.02
191010_110421,3.06,3.09,3.15,3.02
191010_111149,3.14,3.04,3.1,3.09
191010_112041,3.13,3.02,3.09,3.06
191010_114654,3.14,3.1,3.01,3.04
191010_115126,3.05,3.12,3.02,3.09
191010_115517,3.02,3.14,3.12,3.09
191010_121525,3.05,3.09,3.03,3.13
191010_122221,3.06,3.01,3.09,3.13
191010_122831,3.1,3.15,3.07,3.03
191010_124209,3.1,3.06,3.08,
191010_132256,3.14,3.07,3.03,3.11
191010_133143,3.01,3.08,3.11,3.14
191010_134343,3.11,3.06,3.03,3.07
191010_135107,3.06,3.14,3.03,3.1
191010_145813,3.13,3.04,3.09,3.02
191011_102359,,,,
191011_102808,3.14,3.07,3.04,3.12
