Keys,V1,V2,V3,V4
170428_131455,3.03,3.11,3.05,3.08
170428_132719,3.15,3.01,3.04,3.12
170428_134212,3.1,3.02,3.04,3.14
170428_153129,3.09,3.06,3.1,3.14
170429_105955,3.01,3.14,3.1,3.09
170429_111821,3.01,3.13,3.04,3.09
170429_112953,3.08,3.05,3.03,3.12
170429_115427,3.09,3.11,3.02,3.04
170429_121852,3.13,3.06,3.11,3.03
170429_122426,3.15,3.07,3.02,3.06
170429_124553,3.1,3.02,3.05,3.14
170429_125156,3.07,3.13,3.03,3.12
170429_125646,3.14,3.07,3.03,3.04
170429_134441,3.11,3.04,3.07,3.13
170429_134959,3.02,3.11,3.05,3.09
170429_135345,3.09,3.1,3.03,3.14
170429_135901,3.04,3.13,3.08,3.12
170429_141747,3.06,3.02,3.15,3.07
170429_143736,3.11,3.14,3.06,3.08
170429_152723,3.01,3.04,3.09,3.12
170429_154250,3.09,3.06,3.14,3.12
170429_154628,3.08,3.11,3.13,3.04
170429_155746,3.11,3.04,3.09,3.13
170429_160829,3.07,3.06,3.13,3.12
170429_164827,3.01,3.06,3.12,3.07
170429_165302,3.07,3.01,3.1,3.04
170430_104414,3.02,3.11,3.15,3.06
170430_110703,3.08,3.1,3.03,3.05
170430_115842,3.06,3.14,3.09,3.02
170430_121330,3.1,3.08,3.02,3.06
170430_122234,3.1,3.07,3.02,3.04
170430_122803,3.08,3.14,3.01,3.11
170430_131415,3.03,3.09,3.11,3.06
170430_132458,3.15,3.04,3.08,3.03
170430_141355,3.04,3.01,3.15,3.07
170430_142736,3.02,3.08,3.06,3.1
170430_143159,3.15,3.04,3.07,3.01
170430_143925,3.15,3.12,3.04,3.08
170430_145806,3.12,3.15,3.04,3.09
170430_155053,3.01,3.08,3.1,3.05
170430_155718,3.1,3.02,3.13,3.04
170430_161753,3.15,3.1,3.05,3.07
170430_162608,3.13,3.09,3.01,3.04
170430_165623,3.13,3.07,3.04,3.01
170501_112834,3.08,3.04,3.1,3.14
170501_113420,3.02,3.06,3.12,3.07
170501_113735,3.09,3.05,3.13,3.11
170501_114359,3.03,3.15,3.05,3.11
170501_114940,3.01,3.07,3.14,3.04
170501_121412,3.05,3.13,3.08,3.03
170501_125846,3.02,3.14,3.04,3.1
170501_132823,3.02,3.06,3.11,3.08
170501_133756,3.1,3.14,3.06,3.01
170501_134620,3.13,3.05,3.03,3.07
170501_135452,3.1,3.03,3.13,3.08
170501_141513,3.07,3.13,3.06,3.03
170501_142116,3.06,3.14,3.01,3.12
170501_143646,3.07,3.06,3.02,3.15
170501_144034,3.07,3.05,3.12,3.03
170501_145544,3.09,3.01,3.11,3.15
170501_150134,3.13,3.09,3.06,3.02
170501_150840,3.08,3.04,3.12,3.01
170501_151404,3.06,3.07,3.01,3.11
170502_100924,3.12,3.06,3.03,3.13
170502_101308,3.12,3.07,3.02,3.13
170502_102200,3.09,3.03,3.12,3.15
170502_102718,3.1,3.05,3.14,3.01
170502_103134,3.1,3.09,3.13,3.06
170502_103423,3.1,3.03,3.09,3.06
170502_103805,3.06,3.07,3.1,3.03
170502_104238,3.06,3.14,3.1,3.07
170502_115345,3.06,3.12,3.14,3.02
170502_121312,3.03,3.15,3.07,3.06
170502_131103,3.12,3.06,3.13,3.03
170502_133953,3.12,3.03,3.09,3.04
170502_142309,3.05,3.08,3.1,3.14
170502_142638,3.12,3.09,3.03,3.05
170502_143053,3.08,3.11,3.04,3.03
170502_143607,3.13,3.1,3.03,3.09
170502_150808,3.04,3.1,3.09,3.03
170503_100620,3.14,3.11,3.01,3.05
170503_101757,3.12,3.09,3.04,3.13
170503_102801,3.09,3.03,3.13,3.04
170503_103229,3.14,3.08,3.06,3.12
170503_103803,3.05,3.15,3.1,3.08
170503_104750,3.05,3.11,3.13,3.01
170503_105542,3.05,3.01,3.07,3.1
170503_111352,3.02,3.1,3.13,3.04
170503_111827,3.05,3.13,3.1,3.08
170503_114438,3.07,3.04,3.14,3.12
170503_123322,3.1,3.05,3.14,3.08
170503_133936,3.06,3.01,3.14,3.11
170503_134448,3.15,3.07,3.11,3.04
170503_143121,3.05,3.14,3.01,3.1
170503_143509,3.03,3.08,3.15,3.05
170503_145313,3.01,3.14,3.07,3.06
170503_145844,3.13,3.11,3.03,3.06
170503_150352,3.01,3.11,3.04,3.15
170503_150836,3.08,3.04,3.03,3.15
170503_151441,3.01,3.07,3.12,3.06
170503_151926,3.01,3.12,3.04,3.08
170503_152647,3.01,3.05,3.1,3.09
170504_101927,3.02,3.06,3.11,3.09
170504_102450,3.11,3.04,3.01,3.08
170504_103010,3.13,3.02,3.11,3.08
170504_115350,3.03,3.08,3.13,3.06
170504_124611,3.05,3.13,3.02,3.1
170504_125411,3.1,3.02,3.14,3.05
170504_134404,3.09,3.12,3.06,3.13
170504_135511,3.09,3.15,3.06,3.12
170504_140212,3.15,3.04,3.01,3.07
170504_140852,3.15,3.11,3.01,3.04
170504_141718,3.07,3.02,3.06,3.11
170504_144116,3.14,3.03,3.07,3.06
170504_151745,3.1,3.15,3.09,3.01
170504_152307,3.13,3.09,3.12,3.04
170504_152846,3.11,3.03,3.05,3.08
170505_113527,3.07,3.02,3.05,3.14
170505_114638,3.04,3.14,3.1,3.02
170505_115201,3.12,3.15,3.05,3.07
170505_115843,3.09,3.06,3.03,3.11
170505_124624,3.08,3.04,3.02,3.14
170505_133334,3.06,3.08,3.02,3.1
170505_140334,3.14,3.09,3.05,3.03
170505_145411,3.13,3.08,3.12,3.06
170505_151853,3.04,3.13,3.1,3.01
170506_111735,3.13,3.06,3.12,3.08
170506_120050,3.13,3.11,3.06,3.03
170506_124502,3.1,3.13,3.04,3.07
170506_134639,3.12,3.03,3.14,3.08
170506_135624,3.04,3.01,3.09,3.11
170506_141734,3.05,3.11,3.13,3.03
170506_142845,3.05,3.08,3.03,3.15
170506_144214,3.08,3.04,3.01,3.12
170506_145636,3.14,3.1,3.02,3.05
170506_150050,3.03,3.04,3.11,3.08
170506_150640,3.01,3.13,3.05,3.1
170506_153657,3.09,3.04,3.14,3.01
170506_155336,3.13,3.09,3.1,3.01
170506_162425,3.15,3.01,3.05,3.07
170506_162818,3.1,3.09,3.03,3.06
170506_164928,3.15,3.01,3.08,3.06
170507_111203,3.13,3.1,3.03,3.07
170507_112535,3.11,3.01,3.14,3.05
170507_114639,3.06,3.09,3.11,3.14
170507_115920,3.04,3.07,3.11,3.01
170507_125940,3.03,3.09,3.14,3.12
170507_131317,3.05,3.07,3.11,3.03
170507_132227,3.02,3.15,3.09,3.06
170507_133225,3.01,3.11,3.07,3.13
170507_134612,3.12,3.09,3.15,3.02
170507_135549,3.03,3.05,3.08,3.14
170507_143902,3.12,3.02,3.14,3.05
170507_145137,3.01,3.08,3.06,3.11
170507_145813,3.14,3.07,3.01,3.05
170507_150749,3.08,3.15,3.02,3.04
170507_151307,3.12,3.01,3.04,3.14
170507_151814,3.03,3.08,3.1,3.14
170507_153502,3.03,3.15,3.08,3.11
170507_161544,3.09,3.12,3.03,3.15
170508_104059,3.01,3.04,3.14,3.12
170508_104712,3.1,3.04,3.08,3.03
170508_111433,3.1,3.03,3.06,3.08
170508_114605,3.11,3.05,3.03,3.07
170508_123548,3.11,3.09,3.04,3.01
170508_125716,3.07,3.06,3.14,3.11
170508_143457,3.03,3.09,3.11,3.05
170508_150000,3.03,3.04,3.15,3.1
170508_153102,3.03,3.13,3.08,3.1
